"uuid";"code";"title";"description";"active"
"5f1c410a-f38c-4a5c-a537-b30e9b2fc340";"P24";"Vedtægter og regulativer";"P24 anvendes i forbindelse med vedtægter eller regulativer, som kommunen fastlægger over for borgere, virksomheder m.fl.

P24 omfatter dels de vedtægter eller regulativer kommunen selv kan udarbejde og godkende. Fx


    
        Regulativ for benyttelse af kommunale ejendomme
        Affaldsregulativ
        Spildevandsregulativ
        Betalingsvedtægt for kloakforsyningen
        Snerydningsregulativ
        
    


P24 anvendes også i forbindelse med vedtægter og regulativer udarbejdet af andre, som kommunen skal behandle og godkende i henhold til lovgivningen. Fx vedtægter for:


    
        Boligselskaber
        Grundejerforeninger
        Selvejende institutioner
        Private vandværker
        Havne
        
    


P24 anvendes desuden i forbindelse med regulativer, som er rettet mod kommunens interne virksomhed. Fx regulativer for kommunens it-sikkerhed.

Henvisning til andre relevante facetter og emner:


    
        Vedrørende deklarationer, se handlingsfacet G14.
        Vedrørende den kommunale styrelsesvedtægt, se 00.22.00 P24.
        Vedtægter og regulativer mv., som kommunen blot får til orientering uden at skulle behandle eller godkende dem, se handlingsfacet A08, hvis der er tale om en ikke-kommunal forening, alternativt under relevante I-handlingsfacet.";1
"6119cb26-32c3-47fc-a948-34f811402f43";"K09";"Tilsyn med udøvende virksomhed (institutioner o.l.)";"K09 dækker sager hvor kommunen fører tilsyn, herunder ledelsestilsyn, med udøvende virksomhed inden for det kommunale arbejdsområde. Det gælder i sager, hvor kommunalbestyrelsen fører tilsyn med:


    
        egen virksomhed
        andre aktører der løser opgaven for kommunen
        andre kommuner i egenskab af tilsynsmyndighed (socialtilsyn)
        
    


Eksempler er tilsyn med:


    
        dagplejehjem
        børn anbragt uden for eget hjem
        friskoler
        selvejende institutioner inden for børnepasning
        ældreområdet
        andre aktørers opgavevaretagelse efter integrationsloven
        
    


K09 dækker ligeledes sager om andre myndigheders tilsyn med kommunens udøvende virksomhed, institutioner o.l., fx Styrelsen for Patientsikkerheds tilsyn.

Henvisning til andre facetter:


    
        Sager om tilsyn med overholdelse af regler i love og bekendtgørelser og håndhævelse journaliseres med facet K08";1
"62dd8f97-fe52-483f-be09-fa1a495da98b";"Ø30";"Tilbagebetaling til kommunen og opkrævning";"Ø30 dækker sager om:


    
        afgørelser om tilbagebetaling til kommunen
        opkrævning i forhold til borgere og virksomheder, som har gæld til kommunen.
        aftaler om afdragsordninger, som en del af opkrævningen.
        
    


Eksempler er:


    
        opkrævning af tilbagebetalingspligtige ydelser efter servicelovens § 164 eller aktivlovens § 91 (32.45.10 Ø30).
        regres af sygedagpenge iht. sygedagpengeloven (32.30.04 Ø30).";1
"69741476-d09f-471e-9f6c-30becfde9a0c";"P35";"Mødereferater og mødeforberedelse";"P35 facetten dækker sager om møder, bl.a. dagsordener og mødereferater, og kombineres med det emne som mødet og referatet handler om.

Desuden kan P35 bruges til at skille møder og mødereferater ud for sig selv i mere omfattende sager, fx projekter, og med reference til den pågældende sag. Ønsker man ikke at udskille mødereferater fra projektsagen indgår de blot som dokument i selvsamme sag.

Eksempler på mødesager er:


    
        Afdelingsmøder
        Borgermøder
        Byggemøder
        Forældremøder
        Ledermøder
        Beslutningsreferater
        Bestyrelsesmøder";1
"6aa3f777-c241-4f13-a4ab-3790d5ea8ca5";"G00";"Efter faste regler i almindelighed";"G00 anvendes når en sag går på tværs af flere G handlingsfacetter eller når G facetkategorien ikke rummer en specifik facet til sagen.";1
"6c767c03-1a79-4160-8e51-83197a1847d6";"P19";"Godkendelser";"P19 dækker sager om godkendelser, fx:


    
        godkendelser hvor der i hvert enkelt tilfælde foretages en individuel vurdering eller et skøn
        tilladelser/godkendelser med særlig juridisk forpligtigelse, som kan medføre større tab for kommunen ved eventuelle senere sagsanlæg
        tilladelser/godkendelser af forhold, der kan få vidtrækkende konsekvenser i fremtiden, fx miljøgodkendelser/tilladelser
        miljøgodkendelser
        vedtagelse af årsbudget
        juridisk bindende tilladelser
        
    


P19 dækker hele sagsforløbet, også når udfaldet ikke er godkendelse.

P19 kan ligeledes anvendes til at angive bevaring på visse sager, fx G01 sager.";1
"6f0f7aa6-e40d-4240-ba03-85123cb4258f";"K04";"Høringer";"K04 dækker sager om høringer. Både når kommunen gennemfører høring og når kommunen er høringspart. K04 dækker lovregulerede og ikke lovregulerede høringer.";1
"7a1885c5-4ff6-467b-b304-9547a1c5cd86";"A52";"Pressemeddelelser";"A52 dækker sager om udarbejdelse og publicering af pressemeddelelser. Facetten giver mulighed for at adskille pressemeddelelser fra øvrigt materiale til publicering, som er dækket af A50.";1
"7a31609e-6b7a-4d28-a7e8-61efa8dd54cf";"Ø36";"Refusioner";"Anvendes til sager om refusion, herunder mellemkommunal refusion og statsrefusion.";1
"7a9c3e6a-9254-4a76-b031-34316fe24a67";"P00";"Planlægning, regler og principper i almindelighed";"P00 anvendes når en sag går på tværs af flere P handlingsfacetter eller når P facetkategorien ikke rummer en specifik facet til sagen.";1
"7ba06041-8420-43eb-a346-21c0c7fdabba";"S55";"Godkendelse af budgetter, regnskaber og takster fra institutioner, foreninger og erhverv";"Kommunen er lovgivningsmæssigt forpligtet til at godkende forskellige foreningers og institutioners budgetter, regnskaber mv. Som eksempler kan nævnes boligforeninger, selvejende institutioner, erhverv og private vandværker, hvor kommunen også skal godkende taksterne. Såfremt kommunen skal behandle/godkende vedtægter fra sådanne foreninger mv., anvendes handlingsfacet P24.";1
"80b6b019-3b8c-47c8-9852-05cdabb5f901";"P22";"Politikker";"P22 anvendes til sager om kommunens politiske målsætninger og politikker.


    
        Politikker der vedrører flere hovedgrupper journaliseres under emnenr 00.01.10 tilføjet P22.
        P22 bruges også til sager om fastlæggelse af serviceniveau.
        Der er  direkte stikord til alment kendte politikker, fx børnepolitik og ældrepolitik.
        
    


Henvisning til andre relevante facetter:


    
        Strategier tilføjes facet P15.
        Regler og principper fastlagt af kommunen tilføjes facet P21.";1
"8153e5c3-01e5-4ea0-9e7e-e26a4aee088f";"P10";"Prognoser";"P10 facetten dækker sager om prognoser, fx


    
        befolkningsprognoser
        boligprognoser
        beskæftigelsesprognoser
        arbejdsløshedsprognoser
        prognoser over forventet antal skoleelever og ældre
        prognoser over udviklingen i beskatningsgrundlaget
        prognoser omfattende kommunen, udarbejdet af andre end kommunen selv - fx ministerier og Danmarks Statistik
        
    


P10 kombineres med det emne, der bedst dækker det område prognosen vedrører.

Henvisning til relevante emner:


    
        Til befolkningsprognoser, se emnenr. 00.30.04
        Regnskabsprognoser, se emnenr. 00.30.14 Budgetopfølgninger
        Skolebørnsprognoser, se emnenr 17.00.00";1
"81ad2c95-5481-46e8-a56c-94bde6c059e8";"Ø62";"Bøder, der pålægges kommunen";"Ø62 anvendes til sager, hvor kommunen bliver pålagt at skulle betale bøder for overtrædelse af lovgivningen.";1
"83022681-617e-4af0-896e-dd077f3a0a4f";"S37";"Forsikringer vedr. personer";"S37 anvendes til sager om forsikringsforhold vedrørende personer. Det gælder lige fra indgåelsen af forsikringsaftalen til de konkrete skadesanmeldelser og erstatningsudbetalinger. Forsikringssager om skader på løsøre og ting, se handlingsfacet Ø38.

Hvis kommunen er selvforsikret journaliseres de konkrete erstatningskrav til kommunen med handlingsfacet Ø61.

Sager om patientforsikring efter lov om patientforsikring journaliseres med handlingsfacet S37. Dækker forsikringen flere hovedgrupper, journaliseres den under 00.01.10.";1
"8d918adc-9937-438b-8c06-05838161b2da";"P27";"Aftaler og overenskomster";"P27 dækker sager, hvor kommunen indgår en aftale eller overenskomst. Eksempler er:


    
        rammeaftaler eller lokalaftaler mellem kommunen og de ansatte
        driftsaftaler
        fortolkninger af personaleoverenskomster
        databehandleraftale med databehandler
        aftaler om klassificering af stillinger klassifikationsaftaler
        bindende ikke-økonomiske aftaler
        prisaftaler med eksterne leverandører, bl.a. om ydelser, der er omfattet af regler om helbredstillæg
        
    


Henvisning til andre relevante facetter:


    
        Aftaler med et økonomisk indhold, hvor der udarbejdes en kontrakt, se handlingsfacet Ø54";1
"8e6b93b1-efb2-44cd-a792-4d4d0bb3d4fd";"K01";"Revision";"K01 dækker sager om kontrol i form af revision af kommunens måde at løse opgaverne på. Udfører kan være kommunen selv, eller revisionsfirma - revisor

K01 anvendes også til:


    
        økonomisk ledelsestilsyn
        intern revision af systembrugeres adgangsrettigheder til it-systemer
        
    
    


Henvisning til andre relevante facetter:


    
        Kommunalt ledelsestilsyn / fagligt ledelsestilsyn, se facet K09";1
"92022bc2-3941-4b90-8aad-5d737e28575f";"Ø32";"Tilbagebetaling fra kommunen";"Ø32 dækker sager om tilbagebetaling fra kommunen når borgeren/virksomheden har indbetalt for meget eksempelvis restskat, ejendomsskat, samt diverse gebyrer og bidrag. En sag om tilbagebetaling af for meget indbetalt børnebidrag journaliseres derfor under 32.15.04 Ø32.";1
"92f3464a-ce21-4676-8dca-975a02edd4c2";"A26";"Procedurer mv.";"A26 dækker sager, hvor kommunen fastlægger og dokumenterer sine procedurer mv.:


    
        forretningsorden
        administrative procedurer
        arbejdsgange
        sagsforløb
        sagsbehandlingsfrister
        instrukser
        interne vejledninger
        administrative forskrifter
        
    
    


Et fællestræk for procedurerne, instrukserne, forretningsordener m.fl. er, at de er rettet mod egen organisation.";1
"94109032-92b2-4438-b80d-e1bd2bca2256";"Ø54";"Kontrakter";"Ø54 bruges ved alle former for kontrakter og aftaler med et overvejende økonomisk indhold. Fx:


    
        købskontrakter
        lejekontrakter
        leasingkontrakter
        serviceabonnementskontrakter
        forpagtningskontrakter
        
    


Bemærk at kassationsfristen på 5 år først gælder når kontraktens indhold ikke længere er retligt (juridisk) gældende og sagen kan afsluttes.

Henvisning til andre relevante facetter:


    
        Er der tale om ""kontrakter"" uden økonomisk indhold, journaliseres disse med handlingsfacet P27";1
"94db6c71-859d-43e6-9a62-4e7fa7daf878";"A1";"Anderledes organisering";"Til brug for anderledes organisering";1
